sentence,relation,entities,sentence_no_tags
During the period of Professor Mikko Niemi (1965-1996) the focus of <e1>research</e1> was in <e2>male reproduction biology</e2>.,14,"['research', 'male reproduction biology']",During the period of Professor Mikko Niemi (1965-1996) the focus of research was in male reproduction biology.
The head gasket leaked <e1>coolant</e1> into the <e2>oil</e2>.,6,"['coolant', 'oil']",The head gasket leaked coolant into the oil.
A German <e1>company</e1> dug a <e2>pool</e2> on an outdoor running track and then covered it up.,16,"['company', 'pool']",A German company dug a pool on an outdoor running track and then covered it up.
It's the <e1>quality</e1> inside a fertilizer <e2>bag</e2>.,18,"['quality', 'bag']",It's the quality inside a fertilizer bag.
Many depression sufferers and their physicians revealed that <e1>insomnia</e1> was caused by <e2>depression</e2>.,1,"['insomnia', 'depression']",Many depression sufferers and their physicians revealed that insomnia was caused by depression.
"<e1>Education</e1> in early African societies included such things as <e2>artistic performances</e2>, ceremonies, games, festivals, dancing, singing, and drawing.",3,"['Education', 'artistic performances']","Education in early African societies included such things as artistic performances, ceremonies, games, festivals, dancing, singing, and drawing."
Some foreign <e1>workers</e1> moved into a converted <e2>dormitory</e2> at Serangoon Gardens estate on Friday.,6,"['workers', 'dormitory']",Some foreign workers moved into a converted dormitory at Serangoon Gardens estate on Friday.
This company has put the <e1>insulation</e1> into the <e2>walls</e2>.,6,"['insulation', 'walls']",This company has put the insulation into the walls.
"From 1958 to the present, he has cautiously undertaken a close collaboration with a <e1>pleiad</e1> of reputed <e2>authors</e2> in his cinematic endeavors.",13,"['pleiad', 'authors']","From 1958 to the present, he has cautiously undertaken a close collaboration with a pleiad of reputed authors in his cinematic endeavors."
<e1>Artists</e1> have created a living <e2>piece</e2> of leather from mouse stem cells.,17,"['Artists', 'piece']",Artists have created a living piece of leather from mouse stem cells.
The taxpayers have dumped <e1>billions</e1> into this bankrupt <e2>company</e2> without noticing it.,6,"['billions', 'company']",The taxpayers have dumped billions into this bankrupt company without noticing it.
"She wears a <e1>brace</e1> for her left <e2>ankle</e2>, has restricted use of her left hand, still has vision problems and continues with therapy.",18,"['brace', 'ankle']","She wears a brace for her left ankle, has restricted use of her left hand, still has vision problems and continues with therapy."
"We had calamari appetizer which was no different then any other place, the lamb shank tasted like it was cooked in canned <e1>tomato</e1> <e2>sauce</e2>.",9,"['tomato', 'sauce']","We had calamari appetizer which was no different then any other place, the lamb shank tasted like it was cooked in canned tomato sauce."
The <e1>disease</e1> was transmitted on to another <e2>patient</e2> by skin.,6,"['disease', 'patient']",The disease was transmitted on to another patient by skin.
"The <e1>bridges</e1> of a koto, on the other hand, are moved by the <e2>player</e2>, in the course of a single piece of music.",10,"['bridges', 'player']","The bridges of a koto, on the other hand, are moved by the player, in the course of a single piece of music."
The <e1>liver</e1> is responsible for production of <e2>biochemicals</e2> necessary for digestion.,17,"['liver', 'biochemicals']",The liver is responsible for production of biochemicals necessary for digestion.
The increased <e1>spending</e1> caused a <e2>strain</e2> on the state treasury as the Sultan was spending increasing amounts of time in the harem rather than leading the people.,0,"['spending', 'strain']",The increased spending caused a strain on the state treasury as the Sultan was spending increasing amounts of time in the harem rather than leading the people.
That <e1>episode</e1> also reflected on the 1992 Los Angeles <e2>riots</e2>.,14,"['episode', 'riots']",That episode also reflected on the 1992 Los Angeles riots.
My earliest research <e1>interest</e1> stemmed from an <e2>internship</e2> at Tall Timbers.,1,"['interest', 'internship']",My earliest research interest stemmed from an internship at Tall Timbers.
Here are some ways to avoid mindless eating and boost your weight <e1>loss</e1> from <e2>running</e2>.,1,"['loss', 'running']",Here are some ways to avoid mindless eating and boost your weight loss from running.
Adding a staysail gives a <e1>boat</e1> a small <e2>jib</e2> that can balance the boat in heavier wind and sea conditions.,3,"['boat', 'jib']",Adding a staysail gives a boat a small jib that can balance the boat in heavier wind and sea conditions.
This <e1>statement</e1> pointed toward the <e2>resolution</e2> preferred by the Bosnian Serbs.,14,"['statement', 'resolution']",This statement pointed toward the resolution preferred by the Bosnian Serbs.
Latest <e1>figures</e1> show <e2>unemployment</e2> in Wales is rising again despite falls in the previous two months.,18,"['figures', 'unemployment']",Latest figures show unemployment in Wales is rising again despite falls in the previous two months.
"When the Anatolian <e1>language</e1> went away from the <e2>community</e2>, it continued its dialectal divisions.",8,"['language', 'community']","When the Anatolian language went away from the community, it continued its dialectal divisions."
The <e1>tides</e1> caused by the <e2>sun</e2> follow the exact same methods as those by the moon.,1,"['tides', 'sun']",The tides caused by the sun follow the exact same methods as those by the moon.
The <e1>organizers</e1> of the retreat near Lake Placid threw together a <e2>group</e2> of people on a hunch.,18,"['organizers', 'group']",The organizers of the retreat near Lake Placid threw together a group of people on a hunch.
This <e1>study</e1> aimed at assessing the <e2>processing time</e2> of a natural scene in a fast categorization task of its context or 'gist'.,18,"['study', 'processing time']",This study aimed at assessing the processing time of a natural scene in a fast categorization task of its context or 'gist'.
"Athens, in his time, was strictly a portion of feudal Europe, and the <e1>chivalry</e1> of Athenian <e2>dukes</e2> was familiar to those for whom he wrote, and wherever chivalry was in esteem; and when he described a fatal battle in the plain of Thebes, the slaughter of knights, the despair of their ladies, he recalled a great catastrophe recent in men's memories.",18,"['chivalry', 'dukes']","Athens, in his time, was strictly a portion of feudal Europe, and the chivalry of Athenian dukes was familiar to those for whom he wrote, and wherever chivalry was in esteem; and when he described a fatal battle in the plain of Thebes, the slaughter of knights, the despair of their ladies, he recalled a great catastrophe recent in men's memories."
<e1>Elderberry</e1> <e2>wine</e2> has a unique flavor that changes considerably over time.,9,"['Elderberry', 'wine']",Elderberry wine has a unique flavor that changes considerably over time.
"All that has changed after the arrival, last month, of a handful of socialist environmental <e1>campaigners</e1> from the <e2>group</e2>.",12,"['campaigners', 'group']","All that has changed after the arrival, last month, of a handful of socialist environmental campaigners from the group."
"In 1946, Maytag began marketing a separate line of ranges and <e1>refrigerators</e1> made by other <e2>companies</e2> under the Maytag name.",16,"['refrigerators', 'companies']","In 1946, Maytag began marketing a separate line of ranges and refrigerators made by other companies under the Maytag name."
Maybe a few times my <e1>boobs</e1> have popped out of an <e2>outfit</e2> but that happens.,8,"['boobs', 'outfit']",Maybe a few times my boobs have popped out of an outfit but that happens.
"Lionsgate has announced that they have pulled the <e1>film</e1> from its release <e2>date</e2>, but as of yet have not announced when we can expect to dee the movie in theaters.",18,"['film', 'date']","Lionsgate has announced that they have pulled the film from its release date, but as of yet have not announced when we can expect to dee the movie in theaters."
You have added <e1>keys</e1> into the <e2>memory</e2> on the remote systems.,6,"['keys', 'memory']",You have added keys into the memory on the remote systems.
The <e1>debacle</e1> was the topic of <e2>conversation</e2> for days.,15,"['debacle', 'conversation']",The debacle was the topic of conversation for days.
I forgot to shut the bathroom door before showering and the <e1>steam</e1> set off the smoke <e2>alarm</e2> on the wall between the bathroom and my bedroom.,0,"['steam', 'alarm']",I forgot to shut the bathroom door before showering and the steam set off the smoke alarm on the wall between the bathroom and my bedroom.
